"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"globals-waiting-time / globals-numbers-playing"
"12/19/2015 23:29:38:080 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3"
"number-persons","1","50","300"
"[reporter]","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing"
"[final]","0","0","0"
"[min]","0","0","0"
"[max]","1","36.94444444444444","286"
"[mean]","0.06731986935946142","1.6908209341234153","14.086741670437034"
"[steps]","5000","5000","5000"

"[all run data]","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing"
,"0","0","0"
,"0","0","0"
,"0","0","0"
,"0","0","0"
,"0","0.4666666666666667","0.3870967741935484"
,"0","0","0"
,"0","0","0"
,"0.5","1.2424242424242424","1.5892857142857142"
,"0","0","0"
,"0","0","0"
,"0","1.037037037037037","3.017857142857143"
,"0","0","0"
,"0","0","0"
,"0","1.0526315789473684","4.113207547169812"
,"0","0","0"
,"0","0","0"
,"0.5","2","4.568627450980392"
,"0","0","0"
,"0","0","0"
,"0","3.411764705882353","7.875"
,"0","0","0"
,"0","0","0"
,"0","2.176470588235294","7.942857142857143"
,"0","0","0"
,"0","0","0"
,"0","2.6470588235294117","8.933333333333334"
,"0","0","0"
,"0","0","0"
,"1","2.588235294117647","14.185185185185185"
,"0","0","0"
,"0","0","0"
,"0.5","3.3333333333333335","11.464285714285714"
,"0","0","0"
,"0","0","0"
,"0.5","2.8823529411764706","12.03448275862069"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","3.411764705882353","16.962962962962962"
,"0","0","0"
,"0","0","0"
,"0","3.5294117647058822","16.178571428571427"
,"0","0","0"
,"0","0","0"
,"0","3.4705882352941178","14.285714285714286"
,"0","0","0"
,"0","0","0"
,"0","5.111111111111111","16.88888888888889"
,"0","0","0"
,"0","0","0"
,"0","10.444444444444445","16.818181818181817"
,"0","0","0"
,"0","0","0"
,"0","3.0588235294117645","21.09090909090909"
,"0","0","0"
,"0","0","0"
,"0.5","1.5294117647058822","18.38095238095238"
,"0","0","0"
,"0","0","0"
,"0.5","6","21.095238095238095"
,"0","0","0"
,"0","0","0"
,"0.5","4.235294117647059","18.31578947368421"
,"0","0","0"
,"0","0","0"
,"0","1.7222222222222223","21.555555555555557"
,"0","0","0"
,"0","0","0"
,"0","0.8888888888888888","24.61111111111111"
,"0","0","0"
,"0","0","0"
,"0","1.9444444444444444","22.5"
,"0","0","0"
,"0","0","0"
,"0","4.388888888888889","21.5"
,"0","0","0"
,"0","0","0"
,"0","6.5","16.88888888888889"
,"0","0","0"
,"0","0","0"
,"1","5.833333333333333","14.222222222222221"
,"0","0","0"
,"0","0","0"
