"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"wait-time-normal-q"
"12/19/2015 22:56:20:254 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-persons","[step]","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)"
"3","300","0","0"
"2","50","0","0"
"2","50","1","0"
"2","50","2","0"
"2","50","3","0.9230769230769231"
"2","50","4","1.5"
"2","50","5","1.5"
"2","50","6","2"
"2","50","7","1.9130434782608696"
"2","50","8","1.7777777777777777"
"3","300","1","0"
"2","50","9","2.0714285714285716"
"2","50","10","2.217391304347826"
"2","50","11","2.2142857142857144"
"2","50","12","2.6666666666666665"
"2","50","13","2.6206896551724137"
"2","50","14","3.1052631578947367"
"2","50","15","3.5217391304347827"
"2","50","16","3.5806451612903225"
"3","300","2","0"
"2","50","17","4.428571428571429"
"2","50","18","4.68"
"2","50","19","4.741935483870968"
"2","50","20","5.956521739130435"
"2","50","21","5.121212121212121"
"2","50","22","5.54054054054054"
"2","50","23","6.758620689655173"
"3","300","3","0.9814814814814815"
"2","50","24","7.09375"
"2","50","25","7.457142857142857"
"2","50","26","8.24"
"2","50","27","8.068965517241379"
"2","50","28","7.852941176470588"
"2","50","29","8.74074074074074"
"2","50","30","9.10344827586207"
"2","50","31","8.305555555555555"
"2","50","32","9.9"
"3","300","4","1.5252525252525253"
"2","50","33","10.866666666666667"
"2","50","34","10.558823529411764"
"2","50","35","10.96"
"2","50","36","10.413793103448276"
"2","50","37","10.121212121212121"
"2","50","38","11.413793103448276"
"2","50","39","11.3125"
"2","50","40","11.617647058823529"
"2","50","41","13.107142857142858"
"2","50","42","12.806451612903226"
"3","300","5","1.9898989898989898"
"2","50","43","12.647058823529411"
"2","50","44","13.67741935483871"
"2","50","45","14.21875"
"2","50","46","14.757575757575758"
"2","50","47","15.964285714285714"
"2","50","48","14.9375"
"2","50","49","14.25"
"3","300","6","2.568"
"2","50","50","16.25"
"2","50","51","14.757575757575758"
"2","50","52","13.461538461538462"
"2","50","53","15.9375"
"1","1","0","0"
"2","50","54","15.970588235294118"
"3","300","7","2.96319018404908"
"1","1","1","0"
"2","50","55","16.055555555555557"
"1","1","2","0"
"1","1","3","0"
"2","50","56","17.896551724137932"
"1","1","4","0"
"1","1","5","0"
"2","50","57","18.862068965517242"
"1","1","6","0"
"2","50","58","18.0625"
"1","1","7","0.5"
"2","50","59","20.785714285714285"
"1","1","8","0"
"1","1","9","0"
"3","300","8","3.4357142857142855"
"2","50","60","19.15625"
"1","1","10","0.5"
"1","1","11","0"
"2","50","61","19"
"1","1","12","0"
"1","1","13","0"
"2","50","62","19.225806451612904"
"1","1","14","0"
"2","50","63","19.59375"
"1","1","15","0"
"1","1","16","0.5"
"2","50","64","17.91891891891892"
"1","1","17","0"
"2","50","65","18.483870967741936"
"1","1","18","0"
"3","300","9","3.8402366863905324"
"1","1","19","0"
"2","50","66","18.333333333333332"
"1","1","20","0"
"1","1","21","0"
"2","50","67","16.894736842105264"
"1","1","22","0"
"1","1","23","0"
"2","50","68","19.833333333333332"
"1","1","24","0"
"1","1","25","0"
"2","50","69","19"
"1","1","26","0"
"1","1","27","0.5"
"2","50","70","17.473684210526315"
"1","1","28","1"
"1","1","29","0"
"3","300","10","4.115384615384615"
"2","50","71","23.23076923076923"
"1","1","30","0"
"2","50","72","23.333333333333332"
"1","1","31","0"
"2","50","73","20.060606060606062"
"2","50","74","22.4"
"2","50","75","20.275862068965516"
"1","1","32","0"
"2","50","76","17.305555555555557"
"1","1","33","0"
"1","1","34","0.5"
"2","50","77","19.703703703703702"
"1","1","35","0"
"1","1","36","0"
"2","50","78","19.310344827586206"
"1","1","37","0"
"3","300","11","4.685393258426966"
"2","50","79","17.939393939393938"
"1","1","38","0"
"1","1","39","0"
"2","50","80","19.482758620689655"
"1","1","40","0"
"1","1","41","0"
"2","50","81","18.09090909090909"
"1","1","42","0"
"2","50","82","17.555555555555557"
"1","1","43","0"
"1","1","44","0"
"2","50","83","18.2"
"1","1","45","0"
"1","1","46","0"
"2","50","84","17.515151515151516"
"1","1","47","0"
"2","50","85","16.18421052631579"
"1","1","48","0"
"3","300","12","5.228426395939087"
"1","1","49","0"
"2","50","86","19.53125"
"1","1","50","0"
"1","1","51","0"
"2","50","87","18.82857142857143"
"1","1","52","0"
"2","50","88","18.31578947368421"
"1","1","53","0"
"1","1","54","0"
"2","50","89","22.612903225806452"
"1","1","55","0"
"2","50","90","22.875"
"1","1","56","0"
"2","50","91","21.305555555555557"
"1","1","57","0"
"1","1","58","0.5"
"3","300","13","5.573333333333333"
"2","50","92","22.964285714285715"
"1","1","59","0"
"1","1","60","0"
"2","50","93","23.928571428571427"
